"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Central Bedfordshire","E06000056",236759,78809,117265,116915,116281,634,350,154,196,5293,5268,25,22110,22057,53,13282,13272,10
"2021","Luton","E06000032",172698,67220,79417,79216,78924,292,201,100,101,4365,4343,22,12950,12933,17,8746,8734,12
"2021","Peterborough","E06000031",167572,63566,73385,73089,72748,341,296,152,144,4510,4486,24,17136,17107,29,8975,8962,13
"2021","Southend-on-Sea","E06000033",146410,56339,60999,60714,60324,390,285,108,177,3774,3752,22,15977,15934,43,9321,9310,11
"2021","Thurrock","E06000034",136364,52674,61406,61195,60984,211,211,134,77,3423,3405,18,11782,11766,16,7079,7069,10
"2021","Cambridgeshire","E10000003",559647,206433,260967,259765,258320,1445,1202,431,771,11237,11168,69,49256,49144,112,31754,31707,47
"2021","Essex","E10000012",1224175,414936,583609,581721,579207,2514,1888,668,1220,26242,26091,151,118086,117882,204,81302,81219,83
"2021","Hertfordshire","E10000015",959079,338220,464193,462554,460573,1981,1639,728,911,19784,19689,95,81801,81619,182,55081,55029,52
"2021","Norfolk","E10000020",767096,257913,355364,353447,351507,1940,1917,504,1413,16777,16654,123,81981,81816,165,55061,54972,89
"2021","Suffolk","E10000029",630359,202397,303854,302491,300949,1542,1363,396,967,14447,14360,87,65695,65549,146,43966,43903,63
"2021","Camden","E09000007",177909,99156,55698,54665,53662,1003,1033,300,733,3933,3879,54,13124,13010,114,5998,5959,39
"2021","City of London","E09000001",8003,4594,2435,2322,2218,104,113,17,96,172,166,6,559,537,22,243,242,1
"2021","Hackney","E09000012",209469,126197,56964,55941,54878,1063,1023,362,661,5980,5893,87,14425,14276,149,5903,5880,23
"2021","Hammersmith and Fulham","E09000013",154628,87382,47746,47050,46338,712,696,184,512,3369,3330,39,11359,11287,72,4772,4732,40
"2021","Haringey","E09000014",215998,111668,72881,71913,71047,866,968,356,612,6035,5962,73,17791,17685,106,7623,7584,39
"2021","Islington","E09000019",183630,113933,47390,46220,44957,1263,1170,372,798,4091,4016,75,12833,12696,137,5383,5346,37
"2021","Kensington and Chelsea","E09000020",123089,60608,43845,43180,42570,610,665,185,480,2879,2839,40,10942,10896,46,4815,4777,38
"2021","Lambeth","E09000022",268943,167186,68926,67349,65425,1924,1577,303,1274,6801,6631,170,18784,18524,260,7246,7198,48
"2021","Lewisham","E09000023",242410,129406,78816,77870,76712,1158,946,306,640,6626,6544,82,19288,19149,139,8274,8234,40
"2021","Newham","E09000025",276173,130076,112739,111992,111130,862,747,301,446,6791,6688,103,17233,17151,82,9334,9313,21
"2021","Southwark","E09000028",256140,153493,68989,67666,66028,1638,1323,356,967,7254,7135,119,18932,18661,271,7472,7434,38
"2021","Tower Hamlets","E09000030",252885,147392,80955,79866,78414,1452,1089,308,781,5013,4930,83,12738,12561,177,6787,6757,30
