"date","geography","geography code","Household composition: Total; measures: Value","Household composition: One person household; measures: Value","Household composition: One person household: Aged 66 years and over; measures: Value","Household composition: One person household: Other; measures: Value","Household composition: Single family household; measures: Value","Household composition: Single family household: All aged 66 years and over; measures: Value","Household composition: Single family household: Married or civil partnership couple; measures: Value","Household composition: Single family household: Married or civil partnership couple: No children; measures: Value","Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value","Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value","Household composition: Single family household: Cohabiting couple family; measures: Value","Household composition: Single family household: Cohabiting couple family: No children; measures: Value","Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value","Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value","Household composition: Single family household: Lone parent family; measures: Value","Household composition: Single family household: Lone parent family: With dependent children; measures: Value","Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value","Household composition: Single family household: Other single family household; measures: Value","Household composition: Single family household: Other single family household: Other family composition; measures: Value","Household composition: Other household types; measures: Value","Household composition: Other household types: With dependent children; measures: Value","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
"2021","St. Helens","E08000013",81010,25561,11243,14318,52331,7909,23101,8283,9523,5295,10316,5073,4438,805,10491,6478,4013,514,514,3118,1457,1661
"2021","Sefton","E08000014",123072,41520,19873,21647,75742,12775,34010,11612,13935,8463,12900,6130,5748,1022,15301,8700,6601,756,756,5810,2556,3254
"2021","Wirral","E08000015",143255,49689,22478,27211,87738,13828,38951,13475,16789,8687,14998,7323,6603,1072,19152,12082,7070,809,809,5828,2635,3193
"2021","Kingston upon Hull, City of","E06000010",115472,39446,13982,25464,69264,7294,27650,10551,11915,5184,17924,8421,8224,1279,15491,10460,5031,905,905,6762,2529,4233
"2021","East Riding of Yorkshire","E06000011",152063,45678,24320,21358,101052,21531,48983,21298,19102,8583,17249,9152,7073,1024,12765,7934,4831,524,524,5333,2292,3041
"2021","North East Lincolnshire","E06000012",69826,22718,10030,12688,44064,6979,18959,8112,7128,3719,9080,4129,4326,625,8638,6016,2622,408,408,3044,1342,1702
"2021","North Lincolnshire","E06000013",73173,21366,10309,11057,48217,8263,22583,9650,8756,4177,9530,4569,4296,665,7438,4758,2680,403,403,3590,1602,1988
"2021","York","E06000014",85458,26640,11607,15033,52338,8619,25219,9659,11646,3914,10650,6786,3355,509,7340,4538,2802,510,510,6480,1115,5365
"2021","Craven","E07000163",26064,8440,4401,4039,16801,3698,8419,3701,3280,1438,2778,1620,1008,150,1820,1062,758,86,86,823,321,502
"2021","Hambleton","E07000164",40802,12176,6577,5599,27265,6094,13845,6101,5273,2471,4151,2385,1508,258,3034,1871,1163,141,141,1361,504,857
"2021","Harrogate","E07000165",71169,21845,10459,11386,46766,8825,24387,9538,11074,3775,7344,4433,2546,365,5904,3593,2311,306,306,2558,896,1662
"2021","Richmondshire","E07000166",20945,6108,3105,3003,14145,2771,7607,3341,3050,1216,2004,1163,730,111,1704,1103,601,59,59,692,290,402
"2021","Ryedale","E07000167",24713,7550,4056,3494,16269,3557,8059,3729,2953,1377,2757,1564,1043,150,1799,1051,748,97,97,894,287,607
"2021","Scarborough","E07000168",51123,18216,8971,9245,30852,6593,13602,6453,4716,2433,5550,2893,2308,349,4875,3100,1775,232,232,2055,790,1265
"2021","Selby","E07000169",39561,10556,4831,5725,27573,4433,14283,5843,6063,2377,5273,2983,2027,263,3422,2278,1144,162,162,1432,631,801
"2021","Barnsley","E08000016",108054,33289,14170,19119,70441,10252,31194,12838,12076,6280,15721,7631,6999,1091,12693,8400,4293,581,581,4324,2037,2287
"2021","Doncaster","E08000017",133478,41667,18042,23625,85499,12699,38226,15233,15393,7600,17656,8365,8103,1188,16043,10512,5531,875,875,6312,2896,3416
"2021","Rotherham","E08000018",113925,34225,15175,19050,75069,11604,34018,12960,14150,6908,15449,7078,7151,1220,13408,8613,4795,590,590,4631,2401,2230
"2021","Sheffield","E08000019",231951,75759,29871,45888,140739,19630,64582,22418,30742,11422,29242,16643,10756,1843,25650,16618,9032,1635,1635,15453,4662,10791
"2021","Bradford","E08000032",209865,64596,24902,39694,130426,15224,64874,19782,34178,10914,21288,10575,9253,1460,27395,18865,8530,1645,1645,14843,9231,5612
"2021","Calderdale","E08000033",90475,30308,12289,18019,56148,8020,25747,9765,11404,4578,11203,5805,4645,753,10771,7481,3290,407,407,4019,2033,1986
"2021","Kirklees","E08000034",177992,55177,22474,32703,113432,15946,55340,18867,26692,9781,20825,10555,8871,1399,20306,13445,6861,1015,1015,9383,4931,4452
"2021","Leeds","E08000035",341467,111381,40266,71115,204885,25549,93636,31454,46677,15505,44061,26072,15685,2304,38748,25870,12878,2891,2891,25201,7717,17484
"2021","Wakefield","E08000036",153075,46419,19886,26533,100085,14196,46026,18050,19325,8651,21794,10886,9426,1482,17209,11120,6089,860,860,6571,3051,3520
"2021","Derby","E06000015",105653,33054,13019,20035,64890,8427,30480,9917,14882,5681,12472,6544,5148,780,12460,7850,4610,1051,1051,7709,3435,4274
"2021","Leicester","E06000016",127388,35173,11871,23302,75604,6093,39969,9143,22376,8450,11372,5707,4753,912,16447,9828,6619,1723,1723,16611,8446,8165
"2021","Rutland","E06000017",16696,4786,2589,2197,11320,2654,5854,2350,2585,919,1600,950,560,90,1169,712,457,43,43,590,223,367
"2021","Nottingham","E06000018",124745,41971,13512,28459,68295,6104,28615,9457,14308,4850,14906,8448,5502,956,17045,11449,5596,1625,1625,14479,3997,10482
"2021","North Northamptonshire","E06000061",148922,40715,17680,23035,99038,14343,47182,17220,21671,8291,20219,10068,8901,1250,16303,10468,5835,991,991,9169,4114,5055
"2021","West Northamptonshire","E06000062",172643,46474,19511,26963,113940,15948,57154,19721,27652,9781,21857,11652,8876,1329,17572,11313,6259,1409,1409,12229,5272,6957
"2021","Amber Valley","E07000032",56276,17166,7956,9210,37184,6528,17549,7184,7017,3348,7475,4137,2869,469,5404,3425,1979,228,228,1926,781,1145
"2021","Bolsover","E07000033",35262,10539,4803,5736,23302,3471,10748,4545,4141,2062,5342,2709,2317,316,3558,2188,1370,183,183,1421,591,830
"2021","Chesterfield","E07000034",48056,17066,6972,10094,29429,4823,13150,5389,5252,2509,6275,3316,2586,373,4989,3206,1783,192,192,1561,613,948
"2021","Derbyshire Dales","E07000035",32284,9890,5357,4533,21391,4856,10745,4789,4050,1906,3367,1840,1303,224,2320,1333,987,103,103,1003,402,601
"2021","Erewash","E07000036",50331,15549,6916,8633,32905,5306,14957,5864,6182,2911,7221,3830,2908,483,5206,3196,2010,215,215,1877,751,1126
